id,instrument_id,symbol,datetime,price,volume
187,,solana,2025-10-27T19:00:30.026000+00:00,201.84067270201,
186,,solana,2025-10-27T18:02:00.651000+00:00,202.2788292318734,
39,,bitcoin,2025-10-27T18:01:57.229000+00:00,115625.97153429297,
113,,ethereum,2025-10-27T18:01:37.539000+00:00,4221.456990582955,
38,,bitcoin,2025-10-27T17:02:40.552000+00:00,115561.48527435142,
112,,ethereum,2025-10-27T17:01:56.310000+00:00,4215.008383339759,
185,,solana,2025-10-27T17:01:20.646000+00:00,202.58782990612974,
37,,bitcoin,2025-10-27T16:02:16.064000+00:00,114913.77257348821,
184,,solana,2025-10-27T16:02:12.809000+00:00,200.0784678161255,
111,,ethereum,2025-10-27T16:00:46.145000+00:00,4172.656037873132,
36,,bitcoin,2025-10-27T15:02:26.192000+00:00,114727.2314881359,
183,,solana,2025-10-27T15:02:17.105000+00:00,199.13641940269235,
110,,ethereum,2025-10-27T15:00:59.886000+00:00,4149.224260889007,
182,,solana,2025-10-27T14:02:10.953000+00:00,199.9627195832837,
109,,ethereum,2025-10-27T14:02:09.255000+00:00,4175.940716996438,
35,,bitcoin,2025-10-27T14:01:54.529000+00:00,115230.79366880337,
181,,solana,2025-10-27T13:02:04.729000+00:00,199.59792610049078,
108,,ethereum,2025-10-27T13:00:50.271000+00:00,4143.938905275264,
34,,bitcoin,2025-10-27T13:00:47.745000+00:00,115059.27087470166,
107,,ethereum,2025-10-27T12:01:18.856000+00:00,4160.453601645435,
180,,solana,2025-10-27T12:01:18.575000+00:00,200.11067257220986,
33,,bitcoin,2025-10-27T12:01:09.301000+00:00,115358.85880884479,
32,,bitcoin,2025-10-27T11:01:37.580000+00:00,115473.70985490437,
179,,solana,2025-10-27T11:01:31.499000+00:00,200.4164445052492,
106,,ethereum,2025-10-27T11:01:30.709000+00:00,4169.723417442871,
31,,bitcoin,2025-10-27T10:01:50.307000+00:00,115262.65742354769,
178,,solana,2025-10-27T10:01:02.321000+00:00,199.95135311695066,
105,,ethereum,2025-10-27T10:01:01.211000+00:00,4160.136608520241,
177,,solana,2025-10-27T09:00:37.981000+00:00,200.40698291603567,
30,,bitcoin,2025-10-27T09:00:36.270000+00:00,115013.80014279131,
104,,ethereum,2025-10-27T09:00:24.900000+00:00,4167.452640109152,
29,,bitcoin,2025-10-27T08:01:39.689000+00:00,115579.33624074656,
103,,ethereum,2025-10-27T08:01:12.586000+00:00,4199.7596694592785,
176,,solana,2025-10-27T08:01:04.341000+00:00,202.52498778762103,
28,,bitcoin,2025-10-27T07:01:49.128000+00:00,115957.34497996338,
175,,solana,2025-10-27T07:01:47.830000+00:00,204.44000196074487,
102,,ethereum,2025-10-27T07:01:44.907000+00:00,4232.019240027213,
174,,solana,2025-10-27T06:02:24.506000+00:00,204.41064807820865,
27,,bitcoin,2025-10-27T06:01:29.862000+00:00,115513.15524233114,
101,,ethereum,2025-10-27T06:01:27.287000+00:00,4231.910340415858,
26,,bitcoin,2025-10-27T05:01:56.590000+00:00,115269.0589739152,
100,,ethereum,2025-10-27T05:01:47.219000+00:00,4216.255885682662,
173,,solana,2025-10-27T05:01:43.465000+00:00,203.83595423426524,
25,,bitcoin,2025-10-27T04:01:06.405000+00:00,114972.25873472058,
